resource_api,resource_desc,resource_doc,resource_grp,resource_mode,resource_example
/services/trackme/v1/allowlist/allowlist_dh_add,allowlist_dh_add / Add index allow list for data hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-dh-add-add-index-allow-list-for-data-hosts,/services/trackme/v1/allowlist,post,"| trackme url=""/services/trackme/v1/allowlist/allowlist_dh_add"" mode=""post"" body=""{\""data_index\"": \""network*\""}"""
/services/trackme/v1/allowlist/allowlist_dh_del,allowlist_dh_del / Remove index allow list for data hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-dh-del-remove-index-allow-list-for-data-hosts,/services/trackme/v1/allowlist,delete,"| trackme url=""/services/trackme/v1/allowlist/allowlist_dh_del"" mode=""delete"" body=""{\""data_index\"": \""network*\""}"""
/services/trackme/v1/allowlist/allowlist_mh_add,allowlist_mh_add / Add index allow list for metric hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-mh-add-add-index-allow-list-for-metric-hosts,/services/trackme/v1/allowlist,post,"| trackme url=""/services/trackme/v1/allowlist/allowlist_mh_add"" mode=""post"" body=""{\""metric_index\"": \""telegraf\""}"""
/services/trackme/v1/allowlist/allowlist_mh_del,allowlist_mh_del / Remove index allow list for metric hosts,https://trackme.readthedocs.io/en/latest/rest_api_reference.html#allowlist-mh-del-remove-index-allow-list-for-metric-hosts,/services/trackme/v1/allowlist,delete,"| trackme url=""/services/trackme/v1/allowlist/allowlist_mh_del"" mode=""delete"" body=""{\""metric_index\"": \""telegraf\""}"""
/services/trackme/v1/blocklist/blocklist_ds_host,blocklist_ds_host / Get current block list for data sources (hosts),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-ds-host-get-current-block-list-for-data-sources-hosts,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_ds_host"" mode=""get"""
/services/trackme/v1/blocklist/blocklist_ds_index,blocklist_ds_index / Get current block list for data sources (index),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-ds-index-get-current-block-list-for-data-sources-index,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_ds_index"" mode=""get"""
/services/trackme/v1/blocklist/blocklist_ds_sourcetype,blocklist_ds_sourcetype / Get current block list for data sources (sourcetype),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-ds-sourcetype-get-current-block-list-for-data-sources-sourcetype,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_ds_sourcetype"" mode=""get"""
/services/trackme/v1/blocklist/blocklist_dh_host,blocklist_dh_host / Get current block list for data hosts (hosts),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-dh-host-get-current-block-list-for-data-hosts-hosts,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_dh_host"" mode=""get"""
/services/trackme/v1/blocklist/blocklist_dh_index,blocklist_dh_index / Get current block list for data hosts (index),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-dh-index-get-current-block-list-for-data-hosts-index,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_dh_index"" mode=""get"""
/services/trackme/v1/blocklist/blocklist_dh_sourcetype,blocklist_dh_sourcetype / Get current block list for data hosts (sourcetype),https://trackme.readthedocs.io/en/latest/rest_api_reference.html#blocklist-dh-sourcetype-get-current-block-list-for-data-hosts-sourcetype,/services/trackme/v1/blocklist,get,"| trackme url=""/services/trackme/v1/blocklist/blocklist_dh_sourcetype"" mode=""get"""
